ID,S Leitsatz 1,S Leitsatz 2,S Leitsatz 3,S Leitsatz 4,S Leitsatz 5,S Leitsatz 6,L Leitsatz 1,L Leitsatz 2,L Leitsatz 3,L Leitsatz 4,L Leitsatz 5,x,y,cluster
232729068,2.0,2.0,1.0,2.0,-1.0,2.0,1.0,-2.0,2.0,2.0,1.0,-1.356659392145362,2.708148735091532,1.0
418040828,2.0,2.0,2.0,-1.0,2.0,2.0,-2.0,-2.0,1.0,2.0,-2.0,-0.6528055641783739,5.59606608615393,1.0
1980949581,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.8342738883576656,-1.0942539267204927,1.0
381038409,-1.0,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.6100543342195657,-0.7390382657109553,1.0
493367659,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,1.0,-2.0,1.0,1.0,1.0,5.448648113077862,2.3207332043206916,0.0
2084705,-2.0,-2.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.022162674704749,-1.7411152520802522,0.0
489876443,-1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-0.4218213169052941,-0.9251781938791493,1.0
580808950,0.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,-0.1495804728278958,-0.766008647423813,1.0
42254905,-1.0,-1.0,-1.0,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,1.878507139332697,-1.740244973463029,0.0
502230419,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-2.2232672755799334,2.505976965941964,1.0
1477768747,-2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,-0.17244961387690227,-1.712322950608,1.0
1070239777,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.1801329905233227,1.5301178721397133,1.0
226893361,-1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.23806889735891307,-0.6343184102852092,1.0
757822710,-1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,2.0,2.0,0.5886100926000509,0.12549260873195395,1.0
1246516591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014505512994302,2.785489901840175,0.0
1981963494,-2.0,1.0,-2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.6084971091694136,-2.6172530629684307,0.0
