comment-id,timestamp,datetime,author-id,agrees,disagrees,moderated,comment-body,x,y,group_0,group_1
581,1518354173865,Sun Feb 11 20:02:53 WIB 2018,1123,110,31,1,there should be a tenant/landlord grievance department with legal assistance,-2.5944435602739726,-0.8748465650981385,1.2237992747853803,0.0940348231091222
580,1518354041941,Sun Feb 11 20:00:41 WIB 2018,1123,62,30,1,Wal-Mart and Kroger grocery pick-up should have to accept EBT for the elderly and disabled,-2.5944435602739726,-0.8748465650981385,1.0,1.0
579,1518353896493,Sun Feb 11 19:58:16 WIB 2018,1123,124,29,1,we need transit buses for elderly and disabled in the county and they should be easy to enter and exit/wheelchair accessible,-2.5944435602739726,-0.8748465650981385,1.0,1.0
578,1518353751710,Sun Feb 11 19:55:51 WIB 2018,1123,206,28,1,apartment complexes should be required to participate in recycling program,-2.533624185198591,-0.8494560214544822,1.3922586762861309,0.0009253186672890741
577,1518353650358,Sun Feb 11 19:54:10 WIB 2018,1123,42,13,1,the Bark Park needs more trees and water access for the smaller dogs area,-2.594596907065204,-0.8746369970260934,0.019818810164837455,0.2346082271059528
576,1518339028151,Sun Feb 11 15:50:28 WIB 2018,1119,1,0,-1,Fairness for the LGBTQIA community is a must for BG!,-2.5532754277689573,-0.7972656491859547,1.5,0.6666666666666666
575,1518334645724,Sun Feb 11 14:37:25 WIB 2018,0,117,29,1,Farmers shouldn’t need a permit to build a fence.,-2.594318763544428,-0.8748333360404651,1.5,0.6666666666666666
574,1518334642574,Sun Feb 11 14:37:22 WIB 2018,0,129,29,1,Planning and zoning laws should change to encourage small businesses and farms.,-2.541896431468622,-0.9206705787497338,1.5,0.6666666666666666
573,1518329572563,Sun Feb 11 13:12:52 WIB 2018,1111,1,0,-1,The cable “franchise” monopoly needs to change! $170 for basic cable & internet is too much!,-2.594318763544428,-0.8748333360404651,1.5,0.6666666666666666
572,1518329435588,Sun Feb 11 13:10:35 WIB 2018,1111,84,13,1,City Annexed areas need more city services for their tax $$.,-2.5375850791002974,-0.8209869683218678,0.6666666666666666,1.5
571,1518328630367,Sun Feb 11 12:57:10 WIB 2018,1112,1,0,-1,Planning and zoning laws should change to encourage small businesses and farms.  Farmers shouldn’t need a permit to build a fence.,-2.5283058508787293,-0.8448877243995077,1.5,0.6666666666666666
